strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-0/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-1/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-2/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-3/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-4/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-5/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-6/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-7/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-8/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;4,00;4,00;3,00;0,00;false;OPTI-f0-s3-d4-c0-9/10;Success;384000,00;2500,00;100,00;85,00;1791,00;0,00;0,00;0,00;6,00;1,00;1,00;0,00;0,00;0,00;567,00;63,00;63,00;63,00;230400,00;0,00;2944,00;192,00;192,00;192,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;192,00;192,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;3,00;4,00;3,00;1,00;false;OPTI-f0-s3-d4-c1-0/10;Success;384000,00;6000,00;100,00;21,00;1599,00;0,00;0,00;0,00;9,00;1,00;1,00;0,00;0,00;0,00;210,00;15,00;15,00;15,00;230400,00;0,00;2592,00;48,00;48,00;48,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;48,00;48,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;3,00;4,00;3,00;1,00;false;OPTI-f0-s3-d4-c1-1/10;Success;384000,00;6000,00;100,00;21,00;1599,00;0,00;0,00;0,00;9,00;1,00;1,00;0,00;0,00;0,00;210,00;15,00;15,00;15,00;230400,00;0,00;2592,00;48,00;48,00;48,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;48,00;48,00;0,00
OPTI;0,10;10,00;100,00;100,00;100,00;100,00;3,00;5,00;150000,00;0;3,00;4,00;3,00;1,00;false;OPTI-f0-s3-d4-c1-2/10;Success;384000,00;6000,00;100,00;21,00;1599,00;0,00;0,00;0,00;9,00;1,00;1,00;0,00;0,00;0,00;210,00;15,00;15,00;15,00;230400,00;0,00;2592,00;48,00;48,00;48,00;153600,00;0,00;1024,00;256,00;256,00;1536,00;0,00;0,00;0,00;48,00;48,00;0,00
