;strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
0;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-0;Success;13310100,0;4100,0;100,0;1365,0;64695,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8680500,0;0,0;176307,0;5120,0;5120,0;5120,0;4629600,0;0,0;34722,0;5787,0;5787,0;57870,0;0,0;0,0;0,0;5120,0;5120,0;0,0
2;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-1;Success;13369800,0;9700,0;99,93;1383,0;64983,0;0,21;0,0;0,0;37,0;1,0;1,0;0,0;4000,0;4,0;40992,0;1705,0;1708,0;1777,0;8714400,0;9,0;245025,0;5120,0;5121,0;5135,0;4647400,0;13,0;92792,0;5808,0;5808,0;58071,0;4000,0;12,0;36,0;5120,0;5116,0;0,0
5;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-2;Success;13486700,0;11100,0;99,64;1513,0;65594,0;0,48;0,0;0,0;64,0;1,0;1,0;0,0;19600,0;6,0;41543,0;1705,0;1708,0;2140,0;8764800,0;31,0;245344,0;5120,0;5137,0;5237,0;4682300,0;29,0;93549,0;5817,0;5817,0;58217,0;20000,0;19,0;180,0;5120,0;5100,0;0,0
9;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-3;Success;13614100,0;20100,0;98,77;1860,0;66610,0;1,43;400,0;0,0;228,0;1,0;1,0;0,0;89000,0;29,0;68582,0;1705,0;1727,0;3209,0;8775600,0;69,0;346028,0;5120,0;5162,0;5521,0;4685900,0;87,0;177859,0;5773,0;5773,0;57880,0;63200,0;69,0;568,0;5120,0;5056,0;0,0
14;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-4;Success;13668000,0;17100,0;98,86;1884,0;66778,0;1,56;0,0;0,0;231,0;1,0;1,0;0,0;95700,0;33,0;60244,0;1705,0;1729,0;3306,0;8798500,0;65,0;312714,0;5120,0;5169,0;5555,0;4702000,0;90,0;149186,0;5773,0;5773,0;57917,0;71800,0;89,0;645,0;5120,0;5047,0;0,0
20;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-5;Success;13335400,0;4100,0;100,0;1365,0;64805,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8697000,0;0,0;176496,0;5120,0;5120,0;5120,0;4638400,0;0,0;34788,0;5798,0;5798,0;57980,0;0,0;0,0;0,0;5120,0;5120,0;0,0
27;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-6;Success;13359000,0;9400,0;99,84;1401,0;64860,0;0,26;0,0;0,0;38,0;1,0;1,0;0,0;12600,0;7,0;41078,0;1705,0;1714,0;1817,0;8698200,0;12,0;243613,0;5120,0;5123,0;5147,0;4636400,0;12,0;91917,0;5793,0;5793,0;57896,0;11800,0;16,0;105,0;5120,0;5108,0;0,0
35;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,00005-s5-d6-c0-7;Success;13641200,0;14100,0;99,35;1597,0;66383,0;0,76;0,0;0,0;111,0;1,0;1,0;0,0;44900,0;15,0;50525,0;1705,0;1717,0;2442,0;8839500,0;32,0;280839,0;5120,0;5142,0;5338,0;4722800,0;48,0;122965,0;5857,0;5857,0;58603,0;34000,0;41,0;307,0;5120,0;5086,0;0,0
44;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000075-s5-d6-c0-8;Success;13349800,0;10300,0;99,67;1482,0;64730,0;0,59;0,0;0,0;43,0;1,0;1,0;0,0;25300,0;5,0;41491,0;1705,0;1708,0;2033,0;8660500,0;37,0;242980,0;5120,0;5145,0;5223,0;4636400,0;41,0;91338,0;5744,0;5744,0;57474,0;27600,0;22,0;248,0;5120,0;5092,0;0,0
54;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0001;6,0;4,0;5,0;0,0;True;OPTI-f0,0001-s5-d6-c0-9;Success;15238700,0;62000,0;93,78;4384,0;76047,0;6,1;0,0;0,0;1604,0;1,0;1,0;0,0;444900,0;111,0;197203,0;1705,0;1805,0;10172,0;9426900,0;298,0;798777,0;5120,0;5391,0;7185,0;5018900,0;379,0;546330,0;5737,0;5737,0;58690,0;348000,0;291,0;3099,0;5120,0;4749,0;0,0
65;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;6,0;4,0;5,0;0,0;True;OPTI-f0-s5-d6-c0-10;Success;13328500,0;4100,0;100,0;1365,0;64775,0;0,0;0,0;0,0;15,0;1,0;1,0;0,0;0,0;0,0;23870,0;1705,0;1705,0;1705,0;8692500,0;0,0;176149,0;5120,0;5120,0;5120,0;4636000,0;0,0;34770,0;5795,0;5795,0;57950,0;0,0;0,0;0,0;5120,0;5120,0;0,0
77;OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;2,5e-05;6,0;4,0;5,0;0,0;True;OPTI-f0,000025-s5-d6-c0-11;Success;13282700,0;9700,0;99,88;1402,0;64488,0;0,31;0,0;0,0;29,0;1,0;1,0;0,0;19300,0;7,0;41135,0;1705,0;1716,0;1840,0;8640600,0;16,0;243055,0;5120,0;5125,0;5158,0;4606800,0;14,0;91721,0;5748,0;5748,0;57490,0;16000,0;17,0;144,0;5120,0;5104,0;0,0
