strategy;selectivity;maxToAverageRatio;averageLatency;averageCryptoTime;averageComputeTime;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,0;5,0;4,0;5,0;0,0;False;OPTI-f0-s5-d6-c0-0;Success;2355200,0;2800,0;100,0;341,0;11945,0;0,0;0,0;0,0;10,0;1,0;1,0;0,0;0,0;0,0;3825,0;425,0;425,0;425,0;1536000,0;0,0;32768,0;1280,0;1280,0;1280,0;819200,0;0,0;6144,0;1024,0;1024,0;10240,0;0,0;0,0;0,0;1280,0;1280,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00007-s5-d6-c0-1;Success;2384800,0;9000,0;99,51;366,0;12059,0;0,62;0,0;0,0;38,0;1,0;1,0;0,0;7100,0;3,0;8207,0;425,0;429,0;506,0;1545900,0;9,0;45668,0;1280,0;1284,0;1302,0;823800,0;8,0;16266,0;1024,0;1024,0;10251,0;8000,0;5,0;72,0;1280,0;1272,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00014;5,0;4,0;5,0;0,0;False;OPTI-f0,00014-s5-d6-c0-2;Success;2388600,0;9000,0;99,02;390,0;12120,0;1,25;0,0;0,0;29,0;1,0;1,0;0,0;11400,0;2,0;8312,0;425,0;434,0;557,0;1543100,0;15,0;45699,0;1280,0;1283,0;1325,0;822300,0;14,0;16163,0;1024,0;1024,0;10238,0;11800,0;19,0;106,0;1280,0;1268,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00024;5,0;4,0;5,0;0,0;False;OPTI-f0,00024-s5-d6-c0-3;Success;2539800,0;13000,0;98,83;406,0;12283,0;3,07;0,0;0,0;57,0;1,0;1,0;0,0;41800,0;9,0;12751,0;425,0;432,0;623,0;1600100,0;48,0;53408,0;1280,0;1314,0;1348,0;859100,0;22,0;21048,0;1024,0;1024,0;10312,0;38800,0;44,0;346,0;1280,0;1239,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;0,00035;5,0;4,0;5,0;0,0;False;OPTI-f0,00035-s5-d6-c0-4;Success;2581700,0;11700,0;97,75;470,0;12438,0;3,99;0,0;0,0;67,0;1,0;1,0;0,0;59200,0;19,0;10821,0;425,0;437,0;724,0;1608100,0;55,0;51931,0;1280,0;1312,0;1399,0;856000,0;33,0;20726,0;1024,0;1024,0;10315,0;58400,0;53,0;464,0;1280,0;1236,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;3,0;0,0;False;OPTI-f0,00005-s3-d6-c0-5;Success;1536000,0;2600,0;100,0;341,0;7167,0;0,18;0,0;0,0;6,0;1,0;1,0;0,0;0,0;0,0;2295,0;255,0;255,0;255,0;921600,0;1,0;11770,0;768,0;768,0;768,0;614400,0;2,0;4090,0;1024,0;1024,0;6144,0;0,0;2,0;0,0;768,0;768,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;4,0;0,0;False;OPTI-f0,00005-s4-d6-c0-6;Success;1972700,0;9000,0;99,71;356,0;9615,0;0,62;0,0;0,0;19,0;1,0;1,0;0,0;8000,0;3,0;6548,0;340,0;345,0;375,0;1236300,0;7,0;29163,0;1024,0;1027,0;1040,0;720400,0;7,0;13236,0;1024,0;1024,0;8200,0;8000,0;4,0;72,0;1024,0;1016,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d6-c0-7;Success;2402400,0;11700,0;99,32;379,0;12121,0;0,8;0,0;0,0;51,0;1,0;1,0;0,0;9000,0;3,0;10377,0;425,0;426,0;549,0;1553100,0;12,0;52078,0;1280,0;1288,0;1313,0;828300,0;9,0;21324,0;1024,0;1024,0;10259,0;12000,0;8,0;96,0;1280,0;1271,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;6,0;0,0;False;OPTI-f0,00005-s6-d6-c0-8;Success;2809400,0;9300,0;99,71;356,0;14430,0;0,63;0,0;0,0;36,0;1,0;1,0;0,0;7000,0;4,0;12324,0;510,0;512,0;568,0;1861200,0;12,0;70568,0;1536,0;1544,0;1554,0;931200,0;6,0;19326,0;1024,0;1024,0;12308,0;10000,0;7,0;91,0;1536,0;1526,0;0,0
OPTI;0,1;10,0;100,0;100,0;100,0;100,0;3,0;5,0;150000,0;7e-05;5,0;4,0;5,0;0,0;False;OPTI-f0,00005-s5-d5-c0-9;Success;2390400,0;10800,0;99,41;382,0;12125,0;0,75;0,0;0,0;44,0;1,0;1,0;0,0;12500,0;4,0;10402,0;425,0;428,0;560,0;1545000,0;10,0;47028,0;1280,0;1285,0;1319,0;824900,0;9,0;16288,0;1024,0;1024,0;10246,0;8000,0;7,0;71,0;1280,0;1272,0;0,0
