buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup;name
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;80;true;3,00;8,00;5,00;0,00;false;0;FFP;1743,79;3,44;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;0,00;0,00;25,00;320,00;323,00;0,00;1743,79;0,00;512,00;512,00;512,00;0,00;0,00;0,00;0,00;3200,00;3197,00;0,00;FFP-Drop-Stop-None-m4096-f80-d3-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;80;true;4,00;8,00;5,00;0,00;false;0;FFP;13987,86;2,72;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;100,00;2560,00;2567,00;0,00;13987,86;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25593,00;0,00;FFP-Drop-Stop-None-m4096-f80-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;80;true;5,00;8,00;5,00;0,00;false;0;FFP;112104,12;2,43;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;2925,00;2930,00;0,00;0,00;0,00;425,00;20480,00;20530,00;0,00;112104,12;0,00;32764,00;32768,00;32768,00;0,00;0,00;0,00;0,00;204800,00;204745,00;0,00;FFP-Drop-Stop-None-m4096-f80-d5-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;4,00;8,00;5,00;0,00;false;0;FFP;14039,05;2,58;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;30,00;2560,00;2563,00;0,00;14039,05;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25597,00;0,00;FFP-Drop-Stop-None-m4096-f50-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;55;true;4,00;8,00;5,00;0,00;false;0;FFP;14035,63;2,43;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;30,00;2560,00;2563,00;0,00;14035,63;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25597,00;0,00;FFP-Drop-Stop-None-m4096-f55-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;60;true;4,00;8,00;5,00;0,00;false;0;FFP;14025,40;2,55;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;35,00;2560,00;2565,00;0,00;14025,40;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25595,00;0,00;FFP-Drop-Stop-None-m4096-f60-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;65;true;4,00;8,00;5,00;0,00;false;0;FFP;14018,57;2,56;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;55,00;2560,00;2565,00;0,00;14018,57;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25595,00;0,00;FFP-Drop-Stop-None-m4096-f65-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;70;true;4,00;8,00;5,00;0,00;false;0;FFP;14011,75;2,80;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;70,00;2560,00;2566,00;0,00;14011,75;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25594,00;0,00;FFP-Drop-Stop-None-m4096-f70-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;75;true;4,00;8,00;5,00;0,00;false;0;FFP;14008,33;2,51;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;70,00;2560,00;2566,00;0,00;14008,33;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25594,00;0,00;FFP-Drop-Stop-None-m4096-f75-d4-s0
FFP,Drop,Stop,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;80;true;4,00;8,00;5,00;0,00;false;0;FFP;13987,86;2,72;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;100,00;2560,00;2567,00;0,00;13987,86;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;25600,00;25593,00;0,00;FFP-Drop-Stop-None-m4096-f80-d4-s0
