buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalUsedBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;bandwidth_Backup;name
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;3,00;8,00;5,00;0,00;false;0;FFP;541,95;1,75;0,00;0,00;2600960,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;97,79;0,00;1925,00;320,00;321,00;0,00;444,16;0,00;512,00;512,00;512,00;2600960,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f50-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;true;3,00;8,00;5,00;0,00;false;0;Success;596,48;3,58;100,00;73,00;2995200,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;18,43;0,00;360,00;45,00;45,00;46080,00;131,07;0,00;2560,00;320,00;320,00;327680,00;446,72;0,00;512,00;512,00;512,00;2621440,00;0,00;0,00;0,00;3200,00;3200,00;0,00;FFP-Drop-Stop-None-0-m1024-f0-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;10;true;3,00;8,00;5,00;0,00;false;0;FFP;587,62;2,33;0,00;64,00;2932736,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;11,01;0,00;215,00;45,00;45,00;0,00;129,89;0,00;2552,00;320,00;321,00;326656,00;446,72;0,00;512,00;512,00;512,00;2606080,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f10-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;20;true;3,00;8,00;5,00;0,00;false;0;FFP;581,22;2,18;0,00;63,00;2922496,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;4,86;0,00;95,00;45,00;45,00;0,00;129,64;0,00;2552,00;320,00;321,00;321536,00;446,72;0,00;512,00;512,00;512,00;2600960,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f20-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;30;true;3,00;8,00;5,00;0,00;false;0;FFP;576,36;2,04;0,00;0,00;2600960,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;129,64;0,00;2552,00;320,00;321,00;0,00;446,72;0,00;512,00;512,00;512,00;2600960,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f30-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;40;true;3,00;8,00;5,00;0,00;false;0;FFP;575,51;1,89;0,00;0,00;2600960,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;129,64;0,00;2552,00;320,00;321,00;0,00;445,87;0,00;512,00;512,00;512,00;2600960,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f40-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;3,00;8,00;5,00;0,00;false;0;FFP;541,95;1,75;0,00;0,00;2600960,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;97,79;0,00;1925,00;320,00;321,00;0,00;444,16;0,00;512,00;512,00;512,00;2600960,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f50-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;60;true;3,00;8,00;5,00;0,00;false;0;FFP;492,85;1,60;0,00;0,00;2595840,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;48,69;0,00;971,00;320,00;321,00;0,00;444,16;0,00;512,00;512,00;512,00;2595840,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f60-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;70;true;3,00;8,00;5,00;0,00;false;0;FFP;443,31;1,45;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;0,00;0,00;20,00;320,00;321,00;0,00;443,31;0,00;512,00;512,00;512,00;0,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f70-d3-s0
FFP,Drop,Stop,None,0;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;80;true;3,00;8,00;5,00;0,00;false;0;FFP;443,31;1,31;0,00;0,00;0,00;100,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;0,00;0,00;25,00;320,00;321,00;0,00;443,31;0,00;512,00;512,00;512,00;0,00;0,00;0,00;0,00;3200,00;3199,00;0,00;FFP-Drop-Stop-None-0-m1024-f80-d3-s0
