buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;name
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;3,00;8,00;5,00;0,00;false;0;Success;605,38;4,09;98,63;91,00;3101696,00;3101696,00;1,81;0,82;0,00;16,00;1,00;1,00;0,00;0,00;21,50;0,00;420,00;45,00;45,00;202752,00;0,00;131,07;0,00;6089,00;320,00;325,00;718848,00;0,00;451,98;0,00;551,00;512,00;512,00;5281792,00;0,00;0,00;0,00;0,00;160,00;155,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d3-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4913,36;7,98;98,80;943,00;25800704,00;25800704,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,86;0,00;4177,00;365,00;372,00;2949120,00;0,00;1058,52;0,00;51568,00;2560,00;2606,00;6238208,00;0,00;3637,81;0,00;4452,00;4096,00;4096,00;42414080,00;0,00;0,00;0,00;0,00;1280,00;1227,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;5,00;8,00;5,00;0,00;false;0;Success;61684,12;175,46;0,00;64502,00;507307008,00;507307008,00;41,86;161,59;0,00;3156,00;1,00;1,00;0,00;0,00;12195,17;0,00;245421,00;2925,00;3997,00;397811712,00;0,00;11025,93;0,00;1144898,00;20480,00;27850,00;182996992,00;0,00;38301,43;0,00;81399,00;32768,00;32768,00;433805312,00;0,00;0,00;0,00;0,00;10240,00;1798,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d5-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4772,10;4,19;100,00;585,00;23966720,00;23966720,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;149,50;0,00;2920,00;365,00;365,00;747520,00;0,00;1048,58;0,00;46080,00;2560,00;2560,00;5242880,00;0,00;3573,76;0,00;4096,00;4096,00;4096,00;41943040,00;0,00;0,00;0,00;0,00;1280,00;1280,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f0-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;25;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4847,35;6,96;99,39;764,00;24932352,00;24932352,00;1,36;2,71;0,00;53,00;1,00;1,00;0,00;0,00;182,94;0,00;3573,00;365,00;368,00;1927168,00;0,00;1051,96;0,00;48729,00;2560,00;2585,00;5746688,00;0,00;3609,74;0,00;4295,00;4096,00;4096,00;42190848,00;0,00;0,00;0,00;0,00;1280,00;1252,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f25-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4913,36;7,98;98,80;943,00;25800704,00;25800704,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,86;0,00;4177,00;365,00;372,00;2949120,00;0,00;1058,52;0,00;51568,00;2560,00;2606,00;6238208,00;0,00;3637,81;0,00;4452,00;4096,00;4096,00;42414080,00;0,00;0,00;0,00;0,00;1280,00;1227,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;75;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;6156,19;30,92;95,78;4254,00;40882176,00;40882176,00;17,58;25,14;0,00;491,00;1,00;1,00;0,00;0,00;711,38;0,00;13928,00;365,00;425,00;19324928,00;0,00;1207,07;0,00;94573,00;2560,00;3019,00;14358528,00;0,00;4212,61;0,00;7352,00;4096,00;4096,00;48080896,00;0,00;0,00;0,00;0,00;1280,00;761,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f75-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;90;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;6924,59;33,89;0,00;6472,00;50840576,00;50840576,00;48,21;21,09;0,00;412,00;1,00;1,00;0,00;0,00;1034,43;0,00;21661,00;365,00;493,00;29345792,00;0,00;1287,40;0,00;128905,00;2560,00;3471,00;20998144,00;0,00;4581,67;0,00;9321,00;4096,00;4096,00;51337216,00;0,00;0,00;0,00;0,00;1280,00;241,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f90-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;4913,36;7,98;98,80;943,00;25800704,00;25800704,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,86;0,00;4177,00;365,00;372,00;2949120,00;0,00;1058,52;0,00;51568,00;2560,00;2606,00;6238208,00;0,00;3637,81;0,00;4452,00;4096,00;4096,00;42414080,00;0,00;0,00;0,00;0,00;1280,00;1227,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;0,50;4,00;8,00;5,00;0,00;false;0;Success;19689,94;42,34;98,93;1166,00;108380160,00;108380160,00;3,26;22,32;0,00;109,00;1,00;1,00;0,00;0,00;1031,37;0,00;5036,00;365,00;375,00;18563072,00;0,00;4258,76;0,00;54797,00;2560,00;2622,00;27500544,00;0,00;14377,48;0,00;4587,00;4096,00;4096,00;170696704,00;0,00;0,00;0,00;0,00;1280,00;1208,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m4096-f50-d4-s0
