buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;backupsToAggregatorsRatio;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;name
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;3,00;8,00;5,00;0,00;false;0;0,10;Success;605,38;4,09;98,63;91,00;3101696,00;3101696,00;1,81;0,82;0,00;16,00;1,00;1,00;0,00;0,00;21,50;0,00;420,00;45,00;45,00;202752,00;0,00;131,07;0,00;6089,00;320,00;325,00;718848,00;0,00;451,98;0,00;551,00;512,00;512,00;5281792,00;0,00;0,00;0,00;0,00;32,00;27,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d3-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4915,47;7,98;98,80;943,00;25810944,00;25810944,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,96;0,00;4179,00;365,00;372,00;2951168,00;0,00;1058,92;0,00;51580,00;2560,00;2607,00;6240256,00;0,00;3639,41;0,00;4460,00;4096,00;4096,00;42430464,00;0,00;0,00;0,00;0,00;256,00;202,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;5,00;8,00;5,00;0,00;false;0;0,10;Success;45543,56;107,93;0,00;26144,00;301346816,00;301346816,00;26,84;93,49;0,00;1826,00;1,00;1,00;0,00;0,00;5230,99;0,00;107648,00;2925,00;3171,00;155727872,00;0,00;9037,59;0,00;606963,00;20480,00;22192,00;85846016,00;0,00;31181,49;0,00;45877,00;32768,00;32768,00;361119744,00;0,00;0,00;0,00;0,00;2048,00;90,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d5-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;30;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4926,78;10,39;98,93;966,00;26037248,00;26037248,00;2,40;6,20;0,00;121,00;1,00;1,00;0,00;0,00;219,39;0,00;4285,00;365,00;371,00;3289088,00;0,00;1060,87;0,00;51633,00;2560,00;2604,00;6283264,00;0,00;3640,32;0,00;4445,00;4096,00;4096,00;42502144,00;0,00;0,00;0,00;0,00;256,00;206,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f30-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;34;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4943,49;10,70;98,88;1005,00;26243072,00;26243072,00;2,49;6,40;0,00;125,00;1,00;1,00;0,00;0,00;226,36;0,00;4421,00;365,00;372,00;3461120,00;0,00;1062,49;0,00;52461,00;2560,00;2610,00;6440960,00;0,00;3648,24;0,00;4493,00;4096,00;4096,00;42584064,00;0,00;0,00;0,00;0,00;256,00;199,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f34-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;38;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4929,67;9,77;98,88;985,00;26057728,00;26057728,00;2,46;5,38;0,00;105,00;1,00;1,00;0,00;0,00;220,77;0,00;4312,00;365,00;372,00;3289088,00;0,00;1061,21;0,00;52076,00;2560,00;2609,00;6318080,00;0,00;3642,31;0,00;4477,00;4096,00;4096,00;42508288,00;0,00;0,00;0,00;0,00;256,00;200,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f38-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;42;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4915,35;8,55;98,88;947,00;25822208,00;25822208,00;2,38;4,25;0,00;83,00;1,00;1,00;0,00;0,00;213,66;0,00;4173,00;365,00;371,00;2990080,00;0,00;1058,99;0,00;51217,00;2560,00;2604,00;6209536,00;0,00;3638,45;0,00;4445,00;4096,00;4096,00;42444800,00;0,00;0,00;0,00;0,00;256,00;206,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f42-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;46;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4899,19;7,57;98,88;870,00;25561088,00;25561088,00;2,16;2,92;0,00;57,00;1,00;1,00;0,00;0,00;206,39;0,00;4031,00;365,00;370,00;2609152,00;0,00;1057,20;0,00;50821,00;2560,00;2603,00;6135808,00;0,00;3632,68;0,00;4429,00;4096,00;4096,00;42377216,00;0,00;0,00;0,00;0,00;256,00;208,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f46-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4915,47;7,98;98,80;943,00;25810944,00;25810944,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,96;0,00;4179,00;365,00;372,00;2951168,00;0,00;1058,92;0,00;51580,00;2560,00;2607,00;6240256,00;0,00;3639,41;0,00;4460,00;4096,00;4096,00;42430464,00;0,00;0,00;0,00;0,00;256,00;202,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;54;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4917,66;7,52;98,80;950,00;25748480,00;25748480,00;2,50;2,82;0,00;55,00;1,00;1,00;0,00;0,00;212,38;0,00;4148,00;365,00;372,00;2822144,00;0,00;1058,24;0,00;51592,00;2560,00;2609,00;6248448,00;0,00;3644,22;0,00;4484,00;4096,00;4096,00;42426368,00;0,00;0,00;0,00;0,00;256,00;200,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f54-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;58;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4931,46;7,92;98,75;1018,00;26064896,00;26064896,00;2,88;3,38;0,00;66,00;1,00;1,00;0,00;0,00;223,44;0,00;4364,00;365,00;374,00;3174400,00;0,00;1060,41;0,00;52343,00;2560,00;2612,00;6457344,00;0,00;3644,23;0,00;4507,00;4096,00;4096,00;42498048,00;0,00;0,00;0,00;0,00;256,00;195,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f58-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;62;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4950,79;8,19;98,73;1128,00;26355712,00;26355712,00;3,27;3,69;0,00;72,00;1,00;1,00;0,00;0,00;234,39;0,00;4578,00;365,00;375,00;3522560,00;0,00;1060,76;0,00;53219,00;2560,00;2618,00;6645760,00;0,00;3651,95;0,00;4537,00;4096,00;4096,00;42543104,00;0,00;0,00;0,00;0,00;256,00;188,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f62-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;66;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;5107,41;11,67;98,44;1521,00;28233728,00;28233728,00;5,17;6,96;0,00;136,00;1,00;1,00;0,00;0,00;293,43;0,00;5731,00;365,00;378,00;5689344,00;0,00;1078,32;0,00;57909,00;2560,00;2668,00;7501824,00;0,00;3728,70;0,00;4930,00;4096,00;4096,00;43276288,00;0,00;0,00;0,00;0,00;256,00;135,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f66-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;70;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;5661,65;34,45;95,90;3715,00;37730304,00;37730304,00;16,71;28,88;0,00;564,00;1,00;1,00;0,00;0,00;624,78;0,00;12825,00;365,00;394,00;19206144,00;0,00;1123,36;0,00;79258,00;2560,00;2775,00;11356160,00;0,00;3884,63;0,00;5706,00;4096,00;4096,00;44898304,00;0,00;0,00;0,00;0,00;256,00;12,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f70-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4915,47;7,98;98,80;943,00;25810944,00;25810944,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,96;0,00;4179,00;365,00;372,00;2951168,00;0,00;1058,92;0,00;51580,00;2560,00;2607,00;6240256,00;0,00;3639,41;0,00;4460,00;4096,00;4096,00;42430464,00;0,00;0,00;0,00;0,00;256,00;202,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;19696,97;42,34;98,93;1163,00;108421120,00;108421120,00;3,27;22,32;0,00;109,00;1,00;1,00;0,00;0,00;1031,99;0,00;5039,00;365,00;375,00;18579456,00;0,00;4260,19;0,00;54808,00;2560,00;2623,00;27508736,00;0,00;14382,47;0,00;4594,00;4096,00;4096,00;170754048,00;0,00;0,00;0,00;0,00;256,00;183,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m4096-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;16384,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;78442,28;165,42;98,93;1160,00;432979968,00;432979968,00;3,19;85,20;0,00;104,00;1,00;1,00;0,00;0,00;4115,66;0,00;5024,00;365,00;375,00;73596928,00;0,00;17034,39;0,00;54891,00;2560,00;2623,00;109871104,00;0,00;57207,04;0,00;4594,00;4096,00;4096,00;682491904,00;0,00;0,00;0,00;0,00;256,00;183,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m16384-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;65536,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;312684,43;615,16;98,93;1110,00;1717895168,00;1717895168,00;3,02;281,80;0,00;86,00;1,00;1,00;0,00;0,00;16108,75;0,00;4916,00;365,00;375,00;273940480,00;0,00;68005,83;0,00;54457,00;2560,00;2620,00;436076544,00;0,00;228288,05;0,00;4570,00;4096,00;4096,00;2725773312,00;0,00;0,00;0,00;0,00;256,00;186,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m65536-f50-d4-s0
LFP,Replace,Stay,NonBlocking;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;50;true;0,10;4,00;8,00;5,00;0,00;false;0;0,10;Success;4915,47;7,98;98,80;943,00;25810944,00;25810944,00;2,47;3,17;0,00;62,00;1,00;1,00;0,00;0,00;213,96;0,00;4179,00;365,00;372,00;2951168,00;0,00;1058,92;0,00;51580,00;2560,00;2607,00;6240256,00;0,00;3639,41;0,00;4460,00;4096,00;4096,00;42430464,00;0,00;0,00;0,00;0,00;256,00;202,00;0,00;0,00;LFP-Replace-Stay-NonBlocking-m1024-f50-d4-s0
