buildingBlocks;selectivity;maxToAverageRatio;averageLatency;averageBandwidth;averageCryptoTime;averageComputeTime;modelSize;failCheckPeriod;healthCheckPeriod;multicastSize;deadline;failureRate;adaptedFailures;backupsToAggregatorsRatio;depth;fanout;groupSize;concentration;random;seed;status;work;latency;completeness;circulatingAggregateIds;finalInboundBandwidth;finalOutboundBandwidth;observedFailureRate;observedContributorsFailureRate;observedWorkersFailureRate;abortedReplacements;work_Querier;failures_Querier;messages_Querier;initial_nodes_Querier;final_nodes_Querier;inbound_bandwidth_Querier;outbound_bandwidth_Querier;propagation_Querier;versions_Querier;work_Aggregator;failures_Aggregator;messages_Aggregator;initial_nodes_Aggregator;final_nodes_Aggregator;inbound_bandwidth_Aggregator;outbound_bandwidth_Aggregator;propagation_Aggregator;versions_Aggregator;work_LeafAggregator;failures_LeafAggregator;messages_LeafAggregator;initial_nodes_LeafAggregator;final_nodes_LeafAggregator;inbound_bandwidth_LeafAggregator;outbound_bandwidth_LeafAggregator;propagation_LeafAggregator;versions_LeafAggregator;work_Contributor;failures_Contributor;messages_Contributor;initial_nodes_Contributor;final_nodes_Contributor;inbound_bandwidth_Contributor;outbound_bandwidth_Contributor;propagation_Contributor;versions_Contributor;work_Backup;failures_Backup;messages_Backup;initial_nodes_Backup;final_nodes_Backup;inbound_bandwidth_Backup;outbound_bandwidth_Backup;propagation_Backup;versions_Backup;work_level_0;failures_level_0;messages_level_0;inbound_bandwidth_level_0;outbound_bandwidth_level_0;propagation_level_0;versions_level_0;work_level_1;failures_level_1;messages_level_1;inbound_bandwidth_level_1;outbound_bandwidth_level_1;propagation_level_1;versions_level_1;work_level_2;failures_level_2;messages_level_2;inbound_bandwidth_level_2;outbound_bandwidth_level_2;propagation_level_2;versions_level_2;work_level_3;failures_level_3;messages_level_3;inbound_bandwidth_level_3;outbound_bandwidth_level_3;propagation_level_3;versions_level_3;work_level_4;failures_level_4;messages_level_4;inbound_bandwidth_level_4;outbound_bandwidth_level_4;propagation_level_4;versions_level_4;name
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;3,00;8,00;5,00;0,00;false;0;FFP;575,51;1,92;0,00;0,00;2600960,00;2600960,00;0,68;0,78;0,54;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;0,00;0,00;0,00;129,64;0,00;2552,00;320,00;321,00;0,00;0,00;2,00;0,00;445,87;0,00;512,00;512,00;512,00;2600960,00;2600960,00;0,00;0,00;0,00;0,00;0,00;182,00;181,00;0,00;0,00;0,00;0,00;445,87;0,00;512,00;2600960,00;2600960,00;0,00;0,00;129,64;0,00;2552,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f341.90333333333336-d3-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;3567,79;1,24;0,00;0,00;0,00;0,00;0,33;0,39;0,24;3,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;2560,00;2563,00;0,00;0,00;3,00;0,00;3567,79;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1459,00;0,00;0,00;0,00;0,00;3567,79;0,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f341.90333333333336-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;0;false;0,10;4,00;8,00;5,00;0,00;false;0;Success;4772,10;4,19;100,00;585,00;23966720,00;23966720,00;0,00;0,00;0,00;0,00;0,26;0,00;5,00;1,00;1,00;0,00;0,00;0,00;0,00;149,50;0,00;2920,00;365,00;365,00;373760,00;373760,00;0,00;73,00;1048,58;0,00;20480,00;2560,00;2560,00;2621440,00;2621440,00;0,00;512,00;3573,76;0,00;4096,00;4096,00;4096,00;20971520,00;20971520,00;0,00;0,00;0,00;0,00;0,00;1462,00;1462,00;0,00;0,00;0,00;0,00;3573,76;0,00;4096,00;20971520,00;20971520,00;0,00;0,00;1048,58;0,00;20480,00;2621440,00;2621440,00;0,00;512,00;131,07;0,00;2560,00;327680,00;327680,00;0,00;64,00;16,38;0,00;320,00;40960,00;40960,00;0,00;8,00;2,05;0,00;40,00;5120,00;5120,00;0,00;1,00;FFP-Drop-Stop-1-None-m1024-f0-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;663,2924666666668;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;3572,05;1,40;0,00;0,00;0,00;0,00;0,23;0,27;0,17;1,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;2560,00;2561,00;0,00;0,00;1,00;0,00;3572,05;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1461,00;0,00;0,00;0,00;0,00;3572,05;0,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f663.2924666666668-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;3567,79;1,24;0,00;0,00;0,00;0,00;0,33;0,39;0,24;3,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;2560,00;2563,00;0,00;0,00;3,00;0,00;3567,79;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1459,00;0,00;0,00;0,00;0,00;3567,79;0,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f341.90333333333336-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;205,14200000000002;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;3561,82;1,18;0,00;0,00;0,00;0,00;0,60;0,71;0,44;5,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;2,00;0,00;0,00;0,00;65,00;2560,00;2565,00;0,00;0,00;8,00;0,00;3561,82;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1457,00;0,00;0,00;0,00;0,00;3561,82;0,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;65,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f205.14200000000002-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;34,190333333333335;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;3492,63;1,10;0,00;0,00;0,00;0,00;3,31;3,86;2,55;15,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;368,00;0,00;0,00;2,00;0,00;0,00;0,00;297,00;2560,00;2574,00;0,00;0,00;26,00;0,00;3492,63;0,00;4089,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1445,00;0,00;0,00;0,00;0,00;3492,63;0,00;4089,00;0,00;0,00;0,00;0,00;0,00;0,00;297,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f34.190333333333335-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;256,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;1249,48;1,62;0,00;565,00;5955840,00;5955840,00;0,44;0,59;0,24;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;36,03;0,00;2815,00;365,00;365,00;72960,00;72960,00;0,00;58,00;261,34;0,00;20427,00;2560,00;2560,00;647680,00;647680,00;1,00;507,00;952,11;0,00;4096,00;4096,00;4096,00;5235200,00;5235200,00;0,00;0,00;0,00;0,00;0,00;1462,00;1462,00;0,00;0,00;0,00;0,00;952,11;0,00;4096,00;5235200,00;5235200,00;0,00;0,00;261,34;0,00;20427,00;647680,00;647680,00;1,00;507,00;32,38;0,00;2530,00;72960,00;72960,00;0,00;58,00;3,65;0,00;285,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m256-f341.90333333333336-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;1024,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;3567,79;1,24;0,00;0,00;0,00;0,00;0,33;0,39;0,24;3,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;2560,00;2563,00;0,00;0,00;3,00;0,00;3567,79;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1459,00;0,00;0,00;0,00;0,00;3567,79;0,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m1024-f341.90333333333336-d4-s0
FFP,Drop,Stop,1,None;0,10;10,00;0,03;6000,00;0,01;0,00;4096,00;100,00;3,00;5,00;50000000,00;341,90333333333336;false;0,10;4,00;8,00;5,00;0,00;false;0;FFP;13950,32;2,72;0,00;0,00;0,00;0,00;0,80;0,95;0,58;2,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;365,00;365,00;0,00;0,00;0,00;0,00;0,00;0,00;159,00;2560,00;2569,00;0,00;0,00;2,00;0,00;13950,32;0,00;4096,00;4096,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1462,00;1453,00;0,00;0,00;0,00;0,00;13950,32;0,00;4096,00;0,00;0,00;0,00;0,00;0,00;0,00;159,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FFP-Drop-Stop-1-None-m4096-f341.90333333333336-d4-s0
