depth;LowCost;HighCmpl;S&P;HyBlock
3.0;2.22;3.86;3.58;3.71
3.0;3.46;3.48;3.58;3.51
3.0;1.67;3.48;3.54;3.46
3.0;3.09;3.48;3.58;3.51
3.0;2.49;4.29;3.63;4.24
3.0;1.55;4.34;3.59;3.51
3.0;1.18;3.48;3.58;3.51
3.0;1.76;3.53;3.59;3.51
3.0;1.05;3.68;3.54;3.46
3.0;2.14;4.04;3.58;3.51
3.0;3.21;3.53;3.63;3.56
3.0;2.8;4.12;3.63;3.56
3.0;2.72;4.18;3.58;3.68
3.0;1.52;3.68;3.52;3.46
3.0;1.86;3.89;3.58;3.51
3.0;1.45;3.52;2.67;3.71
3.0;1.38;3.48;3.58;3.51
3.0;1.09;4.66;3.81;4.66
3.0;1.02;3.53;3.59;3.51
3.0;2.67;4.03;2.77;3.62
3.0;1.09;4.62;3.55;3.66
3.0;1.89;3.63;3.52;3.92
3.0;2.75;3.98;3.58;3.51
3.0;1.25;3.88;3.59;3.51
3.0;2.83;4.45;3.58;4.59
3.0;1.42;4.36;3.58;3.46
3.0;2.45;3.94;3.58;4.18
3.0;1.31;3.73;3.59;3.51
3.0;1.99;3.68;3.58;3.51
3.0;1.13;3.68;3.54;3.46
3.0;1.36;4.34;3.58;3.51
3.0;2.56;3.89;3.58;3.51
3.0;1.64;3.48;3.58;3.51
3.0;2.04;3.89;3.58;4.12
3.0;3.53;3.53;3.63;3.56
3.0;2.73;4.15;3.58;3.71
3.0;2.8;4.24;3.58;3.71
3.0;2.47;4.05;2.96;3.81
3.0;1.24;3.58;3.52;3.46
3.0;1.27;3.74;3.52;3.81
4.0;1.16;8.14;4.17;5.66
4.0;1.51;4.59;4.14;4.21
4.0;1.45;7.42;4.12;4.89
4.0;1.11;11.16;4.17;4.89
4.0;1.28;5.17;4.19;4.07
4.0;1.1;7.01;4.17;5.46
4.0;1.26;4.52;4.12;4.89
4.0;1.36;11.82;4.18;5.61
4.0;1.34;6.34;4.17;4.33
4.0;1.52;5.42;4.21;5.35
4.0;1.14;6.29;4.19;4.79
4.0;1.18;12.8;4.19;6.99
4.0;1.39;10.54;4.15;4.97
4.0;1.2;8.14;4.17;4.84
4.0;1.13;6.09;4.21;5.56
4.0;1.42;5.27;4.19;4.89
4.0;1.26;7.67;4.14;5.51
4.0;1.56;8.65;4.17;5.87
4.0;1.97;6.65;4.17;6.63
4.0;1.54;11.52;4.44;5.35
4.0;1.19;4.8;4.12;4.94
4.0;1.28;4.97;4.12;4.29
4.0;1.11;4.87;4.17;4.84
4.0;1.24;6.7;4.17;5.56
4.0;1.32;8.34;4.19;4.23
4.0;1.15;9.26;4.17;5.05
4.0;1.17;4.96;4.17;4.94
4.0;1.21;7.16;4.17;5.2
4.0;1.34;8.9;4.17;4.43
4.0;1.16;7.76;4.12;5.4
4.0;1.14;7.42;4.12;5.76
4.0;1.16;5.47;4.14;6.68
4.0;1.84;9.98;4.17;4.73
4.0;1.3;7.32;4.17;4.84
4.0;1.11;7.73;4.22;4.33
4.0;1.1;10.85;4.2;6.38
4.0;1.3;5.73;4.17;4.94
4.0;1.35;6.91;4.17;4.12
5.0;1.16;97.47;4.77;8.48
5.0;1.18;84.58;4.77;6.79
5.0;1.15;72.15;4.78;6.84
5.0;1.17;166.22;4.78;7.14
5.0;1.18;103.42;4.77;6.63
5.0;1.18;133.63;4.77;7.35
5.0;1.16;146.39;4.82;7.14
5.0;1.15;148.73;4.76;8.22
5.0;1.15;75.11;4.77;9.04
5.0;1.22;153.39;4.78;8.58
5.0;1.16;75.39;4.82;7.91
5.0;1.18;107.6;4.77;6.58
5.0;1.15;79.78;4.77;8.63
5.0;1.19;126.84;4.73;7.97
5.0;1.16;124.36;4.77;8.78
5.0;1.16;86.47;4.82;6.17
5.0;1.16;89.34;4.77;8.68
5.0;1.16;196.65;4.78;7.04
5.0;1.16;66.81;4.77;7.96
5.0;1.23;119.39;4.82;278.21
5.0;1.17;86.11;4.77;6.84
5.0;1.17;142.0;4.82;7.14
5.0;1.15;138.48;4.78;8.68
5.0;1.19;154.21;4.78;9.71
5.0;1.16;154.28;4.82;7.62
