failure_probability;LowCost;HighCmpl;S&P;HyBlock
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.0;100.0;100.0;100.0;100.0
0.01;0.0;99.98;98.24;99.78
0.01;100.02;100.0;100.02;100.0
0.01;100.0;100.0;100.0;100.0
0.01;0.0;99.98;99.8;99.78
0.01;0.0;100.0;99.8;99.8
0.01;100.0;100.0;100.0;100.0
0.01;0.0;100.0;99.83;99.8
0.01;0.0;100.0;99.8;99.8
0.01;0.0;99.9;98.46;99.93
0.01;0.0;99.98;99.8;99.78
0.01;0.0;100.0;99.61;99.61
0.01;0.0;100.0;100.0;100.0
0.01;100.0;100.0;100.0;100.0
0.01;0.0;100.0;99.8;99.8
0.01;0.0;99.95;99.83;99.8
0.01;100.0;99.98;100.0;99.98
0.01;0.0;99.95;98.46;99.95
0.01;100.0;100.0;100.02;100.0
0.01;0.0;100.0;99.8;99.8
0.01;0.0;100.0;99.8;99.8
0.01;100.0;99.98;100.0;99.98
0.01;100.0;100.0;100.0;100.0
0.01;100.0;100.0;100.0;100.0
0.01;100.0;100.0;100.0;100.0
0.01;100.0;99.98;100.0;99.98
0.01;0.0;99.93;98.51;99.93
0.01;100.0;100.0;100.0;100.0
0.01;0.0;100.0;99.8;99.8
0.01;100.0;100.0;100.0;100.0
0.01;100.0;100.0;100.0;100.0
0.01;0.0;99.98;100.0;99.98
0.01;0.0;100.0;100.0;100.0
0.01;0.0;100.0;99.8;99.8
0.01;0.0;100.0;98.44;100.0
0.01;100.0;99.95;100.0;99.95
0.01;0.0;99.95;98.44;99.95
0.01;100.0;100.0;100.0;100.0
0.01;100.0;100.0;100.02;100.0
0.02;100.02;100.0;100.02;100.0
0.02;0.0;99.98;98.46;100.0
0.02;0.0;99.93;99.83;99.78
0.02;0.0;99.98;98.05;99.58
0.02;0.0;100.0;99.8;99.8
0.02;0.0;99.98;99.61;99.58
0.02;0.0;99.95;100.0;99.95
0.02;0.0;99.98;99.8;99.8
0.02;0.0;99.98;99.8;99.78
0.03;0.0;99.95;99.63;99.58
0.03;0.0;99.98;99.8;99.78
0.03;0.0;99.9;99.8;99.73
0.03;0.0;99.98;99.61;99.58
0.03;0.0;99.95;87.11;99.58
0.03;0.0;99.98;98.07;99.56
0.03;0.0;99.95;99.83;99.76
0.03;0.0;99.9;99.8;99.76
0.03;0.0;99.95;100.05;99.95
0.04;0.0;99.93;97.85;99.39
0.04;0.0;99.95;99.61;99.56
0.04;0.0;99.83;99.85;99.76
0.04;0.0;99.85;99.83;99.71
0.04;0.0;99.93;99.8;99.73
0.04;0.0;99.95;99.63;99.56
0.04;0.0;99.93;87.13;99.56
0.04;0.0;99.85;99.63;99.51
0.04;0.0;99.9;99.61;99.58
0.05;0.0;99.85;99.05;98.97
0.05;0.0;99.85;99.22;99.12
0.05;0.0;99.93;97.87;99.17
0.05;0.0;99.95;99.66;99.54
0.05;0.0;99.88;99.44;99.37
0.05;0.0;99.95;99.61;99.56
0.05;0.0;99.85;99.66;99.49
0.05;0.0;99.83;99.95;99.76
0.05;0.0;99.88;99.41;99.34
0.25;0.0;99.07;96.0;96.78
0.25;0.0;99.0;92.28;97.85
0.25;0.0;99.58;95.79;96.97
0.25;0.0;99.0;93.17;96.14
0.25;0.0;99.54;95.24;97.68
0.25;0.0;99.29;93.23;95.29
0.25;0.0;99.05;97.16;98.24
0.25;0.0;99.27;92.67;96.51
0.25;0.0;98.58;93.05;96.14
0.25;0.0;99.07;84.08;97.05
0.25;0.0;99.39;84.74;97.88
0.25;0.0;99.37;81.77;95.19
0.25;0.0;99.37;96.81;97.75
0.25;0.0;98.71;96.98;97.19
0.25;0.0;99.27;96.76;96.26
0.25;0.0;98.54;97.74;96.7
0.25;0.0;99.54;96.74;97.68
0.25;0.0;98.93;93.04;96.7
0.25;0.0;99.05;97.33;96.8
0.25;0.0;99.29;95.44;96.19
0.25;0.0;99.19;97.01;96.44
0.25;0.0;98.95;92.66;94.82
0.25;0.0;99.29;94.58;96.88
0.25;0.0;98.8;95.19;95.87
0.25;0.0;99.39;97.52;97.05
0.25;0.0;99.0;95.61;97.17
0.25;0.0;98.9;95.39;97.66
0.25;0.0;98.56;83.05;96.22
0.25;0.0;99.29;94.13;95.7
0.25;0.0;98.97;82.13;95.56
0.25;0.0;99.29;98.23;97.53
0.25;0.0;99.22;96.1;97.02
0.25;0.0;99.12;97.3;96.78
0.25;0.0;99.27;83.43;96.34
0.25;0.0;99.32;96.81;97.66
0.25;0.0;99.22;86.82;98.07
0.25;0.0;99.27;82.0;96.31
0.25;0.0;99.22;98.38;97.95
0.3;0.0;96.63;83.47;96.22
0.3;0.0;98.61;81.59;95.29
0.3;0.0;98.78;91.9;95.41
0.3;0.0;99.22;86.26;97.56
0.3;0.0;97.63;95.41;95.83
0.3;0.0;99.17;83.25;95.9
0.3;0.0;99.1;95.59;96.31
0.3;0.0;99.19;95.73;96.56
0.3;0.0;98.97;93.19;96.9
0.3;0.0;99.02;94.28;95.92
0.3;0.0;99.05;95.06;95.53
0.3;0.0;98.73;93.45;96.58
0.3;0.0;98.54;82.95;95.68
0.3;0.0;98.78;93.46;95.61
0.3;0.0;98.9;94.71;95.04
0.3;0.0;99.02;98.28;97.83
0.3;0.0;99.17;81.67;95.53
0.3;0.0;99.24;94.82;97.44
0.3;0.0;99.0;90.68;97.8
0.3;0.0;99.0;79.54;95.14
0.3;0.0;99.02;94.18;95.78
0.3;0.0;98.17;92.62;95.04
0.3;0.0;97.8;97.76;97.07
0.35;0.0;99.05;81.89;95.53
0.35;0.0;97.85;91.88;92.87
0.35;0.0;97.73;97.39;96.66
0.35;0.0;98.95;79.03;94.46
0.35;0.0;96.61;83.33;95.97
0.35;0.0;96.04;91.53;94.95
0.35;0.0;98.83;98.06;96.68
0.35;0.0;97.58;95.04;95.34
0.35;0.0;98.58;93.31;95.24
0.35;0.0;96.73;83.06;95.21
0.35;0.0;98.93;93.62;95.0
0.35;0.0;98.95;93.06;96.39
0.35;0.0;98.95;80.2;95.65
0.35;0.0;99.0;96.51;95.19
0.35;0.0;97.31;91.13;94.92
0.35;0.0;97.75;84.18;95.17
0.35;0.0;98.75;91.69;94.75
0.35;0.0;98.85;94.21;94.36
0.35;0.0;99.0;96.27;96.07
0.35;0.0;99.1;82.54;95.07
0.35;0.0;99.05;93.35;97.14
0.35;0.0;99.0;78.44;97.12
0.35;0.0;98.97;95.0;94.97
0.4;0.0;99.0;94.72;96.88
0.4;0.0;99.02;79.76;94.68
0.4;0.0;97.58;90.96;92.38
0.4;0.0;98.88;92.9;94.92
0.4;0.0;98.68;80.26;93.95
0.4;0.0;0.0;77.84;96.34
0.4;0.0;98.93;82.2;93.82
0.4;0.0;97.27;95.89;96.19
0.4;0.0;95.14;97.0;96.19
0.4;0.0;98.05;95.75;95.78
0.4;0.0;98.93;78.35;95.63
0.4;0.0;96.26;91.13;95.87
0.4;0.0;98.88;96.16;95.17
0.4;0.0;98.51;82.99;93.95
0.4;0.0;95.73;92.9;94.65
0.4;0.0;96.68;94.44;94.58
0.4;0.0;96.58;0.0;95.56
0.4;0.0;96.68;93.32;94.46
0.4;0.0;95.58;90.02;94.07
0.4;0.0;97.75;84.05;94.38
0.4;0.0;98.73;92.88;94.65
0.4;0.0;98.73;93.88;94.24
0.4;0.0;95.7;91.35;94.14
0.45;0.0;98.34;95.87;95.24
0.45;0.0;98.19;79.45;94.19
0.45;0.0;97.58;90.58;91.75
0.45;0.0;98.85;93.03;94.58
0.45;0.0;98.66;81.16;93.51
0.45;0.0;0.0;77.43;95.68
0.45;0.0;98.46;81.4;92.99
0.45;0.0;97.12;93.61;93.8
0.45;0.0;93.77;93.67;93.55
0.45;0.0;98.68;92.99;93.51
0.45;0.0;97.68;81.93;93.04
0.45;0.0;0.0;89.03;93.41
0.45;0.0;0.0;91.47;93.82
0.45;0.0;95.51;78.29;94.43
0.45;0.0;95.83;77.58;94.82
0.45;0.0;96.24;94.07;93.33
0.45;0.0;96.68;94.11;93.95
0.45;0.0;98.51;82.33;93.75
0.45;0.0;95.73;90.84;94.29
0.45;0.0;97.24;92.76;95.73
0.45;0.0;95.68;86.91;93.24
0.45;0.0;96.58;0.0;94.68
0.45;0.0;98.05;93.85;95.0
0.5;0.0;0.0;77.75;91.58
0.5;0.0;95.19;87.34;92.55
0.5;0.0;97.75;89.64;91.04
0.5;0.0;0.0;76.54;92.85
0.5;0.0;96.07;76.18;92.8
0.5;0.0;0.0;91.17;93.26
0.5;0.0;97.66;92.91;92.55
0.5;0.0;97.71;93.78;93.02
