failure_probability;LowCost;HighCmpl;S&P;HyBlock
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.0;4.14;4.14;4.27;4.17
0.01;2.29;4.43;4.22;4.33
0.01;4.14;4.14;4.27;4.17
0.01;4.14;4.14;4.27;4.17
0.01;1.78;4.09;4.22;4.12
0.01;2.82;4.43;4.27;4.38
0.01;4.14;4.14;4.27;4.17
0.01;1.71;4.14;4.24;4.12
0.01;2.83;4.24;4.27;4.17
0.01;3.17;4.5;4.22;4.36
0.01;2.95;4.56;4.27;4.38
0.01;1.65;4.14;4.22;4.12
0.01;3.67;4.14;4.27;4.17
0.01;4.14;4.14;4.27;4.17
0.01;2.62;4.14;4.22;4.12
0.01;2.89;4.55;4.27;4.38
0.01;4.09;4.09;4.22;4.12
0.01;3.55;4.93;4.22;4.93
0.01;4.14;4.14;4.27;4.17
0.01;1.52;4.14;4.24;4.12
0.01;1.39;4.14;4.24;4.12
0.01;4.09;4.09;4.22;4.12
0.01;4.14;4.14;4.27;4.17
0.01;4.14;4.14;4.27;4.17
0.01;4.14;4.14;4.27;4.17
0.01;4.09;4.09;4.22;4.12
0.01;2.67;4.76;4.22;4.79
0.01;4.14;4.14;4.27;4.17
0.01;2.14;4.14;4.22;4.12
0.01;4.14;4.14;4.27;4.17
0.01;4.14;4.14;4.27;4.17
0.01;67.95;4.14;4.27;4.17
0.01;3.29;4.14;4.27;4.17
0.01;2.45;4.14;4.22;4.12
0.01;3.44;4.82;4.27;4.82
