group_size;LowCost;HighCmpl;S&P;HyBlock
4.0;0.0;99.44;98.75;98.27
4.0;0.0;99.39;96.2;96.85
4.0;0.0;99.1;94.22;95.9
4.0;0.0;99.41;97.18;97.75
4.0;0.0;99.49;98.33;97.85
4.0;0.0;99.15;96.24;96.68
4.0;0.0;99.39;96.92;98.19
4.0;0.0;98.73;98.18;97.66
4.0;0.0;99.46;96.96;98.17
4.0;0.0;99.44;98.48;98.14
4.0;0.0;98.95;94.92;96.68
4.0;0.0;99.49;98.14;97.73
4.0;0.0;99.41;98.53;97.31
4.0;0.0;99.19;94.34;96.7
4.0;0.0;99.29;98.41;97.85
4.0;0.0;99.51;97.28;98.32
4.0;0.0;99.46;0.0;97.56
4.0;0.0;99.24;97.64;96.83
4.0;0.0;99.24;98.43;97.8
4.0;0.0;99.24;97.62;97.09
4.0;0.0;99.39;95.64;98.24
4.0;0.0;99.61;97.87;99.07
4.0;0.0;99.37;96.05;97.07
4.0;0.0;99.46;95.25;97.66
4.0;0.0;99.37;95.59;98.24
4.0;0.0;98.8;97.45;96.7
4.0;0.0;99.41;94.17;96.17
4.0;0.0;99.56;99.58;99.05
4.0;0.0;99.41;98.19;97.63
4.0;0.0;99.19;79.95;97.58
4.0;0.0;99.19;82.71;97.02
4.0;0.0;98.93;98.68;98.19
4.0;0.0;99.46;98.31;97.95
4.0;0.0;99.1;95.41;97.27
4.0;0.0;99.19;97.77;97.22
4.0;0.0;99.46;96.86;97.66
4.0;0.0;99.27;83.31;96.58
4.0;0.0;99.61;84.77;98.39
4.0;0.0;99.34;98.38;97.78
4.0;0.0;99.15;95.07;96.92
5.0;0.0;99.32;96.81;97.66
5.0;0.0;99.39;97.52;97.05
5.0;0.0;99.07;84.08;97.05
5.0;0.0;99.22;86.82;98.07
5.0;0.0;99.27;96.76;96.26
5.0;0.0;98.95;92.66;94.82
5.0;0.0;98.8;95.19;95.87
5.0;0.0;99.39;84.74;97.88
5.0;0.0;99.27;82.0;96.31
5.0;0.0;99.27;83.43;96.34
5.0;0.0;98.58;93.05;96.14
5.0;0.0;99.29;94.58;96.88
5.0;0.0;98.71;96.98;97.19
5.0;0.0;99.37;96.81;97.75
5.0;0.0;99.54;96.74;97.68
5.0;0.0;99.22;96.1;97.02
5.0;0.0;99.58;95.79;96.97
5.0;0.0;99.29;93.23;95.29
5.0;0.0;99.07;96.0;96.78
5.0;0.0;99.19;97.01;96.44
5.0;0.0;99.0;93.17;96.14
5.0;0.0;99.0;92.28;97.85
5.0;0.0;99.29;95.44;96.19
5.0;0.0;99.54;95.24;97.68
5.0;0.0;99.27;92.67;96.51
5.0;0.0;99.05;97.16;98.24
5.0;0.0;98.54;97.74;96.7
5.0;0.0;99.29;98.23;97.53
5.0;0.0;99.05;97.33;96.8
5.0;0.0;99.37;81.77;95.19
5.0;0.0;99.29;94.13;95.7
5.0;0.0;99.0;95.61;97.17
5.0;0.0;98.93;93.04;96.7
5.0;0.0;98.56;83.05;96.22
5.0;0.0;98.9;95.39;97.66
5.0;0.0;98.97;82.13;95.56
5.0;0.0;99.22;98.38;97.95
5.0;0.0;99.12;97.3;96.78
6.0;0.0;98.85;91.57;95.12
6.0;0.0;99.22;90.01;95.58
6.0;0.0;99.17;90.59;94.92
6.0;0.0;99.0;92.95;96.9
6.0;0.0;99.15;82.04;96.26
6.0;0.0;99.07;93.6;94.85
6.0;0.0;99.39;83.41;93.97
6.0;0.0;99.44;96.71;97.22
6.0;0.0;98.58;91.85;94.17
6.0;0.0;97.53;84.57;95.56
6.0;0.0;98.9;94.57;96.68
6.0;0.0;99.41;97.01;96.58
6.0;0.0;99.12;84.42;95.85
6.0;0.0;98.8;92.71;96.39
6.0;0.0;98.9;93.94;94.63
6.0;0.0;99.05;93.81;95.14
6.0;0.0;99.29;95.39;96.29
6.0;0.0;99.27;95.93;96.88
6.0;0.0;98.56;96.15;96.56
6.0;0.0;99.27;98.36;97.78
6.0;0.0;99.1;94.08;95.51
6.0;0.0;98.93;94.51;94.97
6.0;0.0;98.63;91.3;94.65
6.0;0.0;99.12;83.59;95.7
6.0;0.0;98.71;97.55;97.0
6.0;0.0;99.02;92.93;94.43
6.0;0.0;99.34;90.49;96.09
6.0;0.0;97.95;91.74;95.12
6.0;0.0;98.73;97.08;95.95
6.0;0.0;99.22;81.55;95.46
6.0;0.0;98.93;95.09;95.43
6.0;0.0;98.75;93.26;95.02
6.0;0.0;99.24;94.76;96.51
6.0;0.0;98.97;96.24;96.66
6.0;0.0;99.27;97.52;97.02
6.0;0.0;99.12;96.0;96.73
6.0;0.0;99.05;83.39;95.65
6.0;0.0;99.05;97.64;95.85
6.0;0.0;99.24;83.55;94.41
6.0;0.0;99.15;96.09;95.36
