group_size;LowCost;HighCmpl;S&P;HyBlock
4.0;1.11;5.3;3.9;4.89
4.0;1.2;5.05;3.81;4.82
4.0;1.31;6.03;3.85;4.57
4.0;1.15;5.1;3.86;4.82
4.0;1.56;4.97;3.9;4.88
4.0;1.24;5.35;3.9;4.61
4.0;1.25;5.51;3.9;4.29
4.0;1.43;10.53;3.9;5.16
4.0;1.24;5.51;3.85;4.01
4.0;1.08;5.25;3.85;4.01
4.0;1.32;7.15;3.87;5.74
4.0;1.53;4.64;3.85;3.85
4.0;1.17;5.97;3.9;5.39
4.0;1.16;6.32;3.85;4.06
4.0;1.11;6.53;3.89;5.03
4.0;1.11;4.71;3.85;4.06
4.0;1.19;5.56;2.96;4.21
4.0;1.17;5.46;3.9;5.34
4.0;1.47;5.82;3.85;5.03
4.0;1.3;5.31;3.9;3.9
4.0;1.68;5.3;3.85;4.52
4.0;1.25;4.13;3.9;3.8
4.0;1.22;5.36;3.85;5.34
4.0;1.23;4.79;3.85;5.03
4.0;1.27;4.54;3.86;4.52
4.0;1.15;8.02;3.88;4.7
4.0;1.49;5.34;3.87;5.23
4.0;1.47;4.89;3.9;3.95
4.0;1.16;4.7;3.9;5.18
4.0;1.42;6.74;3.85;4.71
4.0;1.34;5.4;3.8;4.49
4.0;1.18;8.17;3.9;3.8
4.0;1.39;4.72;3.9;4.41
4.0;1.16;5.18;3.81;4.57
4.0;1.36;6.38;3.85;4.52
4.0;1.21;4.64;3.85;4.52
4.0;1.2;5.12;3.8;4.67
4.0;1.2;4.54;3.8;4.02
4.0;1.82;5.0;3.9;5.08
4.0;1.35;5.97;3.81;5.39
5.0;1.97;6.65;4.17;6.63
5.0;1.28;5.17;4.19;4.07
5.0;1.45;7.42;4.12;4.89
5.0;1.16;8.14;4.17;5.66
5.0;1.14;6.29;4.19;4.79
5.0;1.26;7.67;4.14;5.51
5.0;1.11;11.16;4.17;4.89
5.0;1.51;4.59;4.14;4.21
5.0;1.28;4.97;4.12;4.29
5.0;1.19;4.8;4.12;4.94
5.0;1.36;11.82;4.18;5.61
5.0;1.1;7.01;4.17;5.46
5.0;1.56;8.65;4.17;5.87
5.0;1.34;6.34;4.17;4.33
5.0;1.52;5.42;4.21;5.35
5.0;1.35;6.91;4.17;4.12
5.0;1.11;4.87;4.17;4.84
5.0;1.24;6.7;4.17;5.56
5.0;1.32;8.34;4.19;4.23
5.0;1.42;5.27;4.19;4.89
5.0;1.16;7.76;4.12;5.4
5.0;1.15;9.26;4.17;5.05
5.0;1.13;6.09;4.21;5.56
5.0;1.17;4.96;4.17;4.94
5.0;1.21;7.16;4.17;5.2
5.0;1.34;8.9;4.17;4.43
5.0;1.18;12.8;4.19;6.99
5.0;1.3;5.73;4.17;4.94
5.0;1.2;8.14;4.17;4.84
5.0;1.26;4.52;4.12;4.89
5.0;1.16;5.47;4.14;6.68
5.0;1.1;10.85;4.2;6.38
5.0;1.39;10.54;4.15;4.97
5.0;1.54;11.52;4.44;5.35
5.0;1.84;9.98;4.17;4.73
5.0;1.14;7.42;4.12;5.76
5.0;1.11;7.73;4.22;4.33
5.0;1.3;7.32;4.17;4.84
6.0;1.18;9.64;4.46;5.42
6.0;1.28;5.29;4.48;5.11
6.0;1.3;6.05;4.51;5.88
6.0;1.12;8.77;4.55;5.12
6.0;1.14;6.77;4.46;5.93
6.0;1.2;7.69;4.5;6.14
6.0;1.22;6.05;4.44;5.37
6.0;1.16;5.54;4.5;5.75
6.0;1.12;13.17;4.46;6.5
6.0;1.71;23.2;4.8;6.14
6.0;1.39;9.33;4.46;5.37
6.0;1.09;6.45;4.51;4.45
6.0;1.39;6.0;4.46;6.24
6.0;1.24;12.05;4.47;5.47
6.0;1.29;10.66;4.51;6.04
6.0;1.13;9.38;4.5;6.65
6.0;1.41;7.39;4.5;6.03
6.0;1.14;7.85;4.51;5.17
6.0;1.09;14.55;4.5;6.39
6.0;1.2;6.77;4.5;5.73
6.0;1.26;7.84;4.49;6.39
6.0;1.14;6.67;4.5;5.01
6.0;1.16;11.89;4.68;5.58
6.0;1.41;6.57;4.44;6.45
6.0;1.08;12.71;4.51;5.06
6.0;1.16;8.67;4.5;6.65
6.0;1.11;5.34;4.45;5.32
6.0;1.1;22.44;4.51;5.98
6.0;1.55;12.56;4.51;5.93
6.0;1.34;6.57;4.44;5.11
6.0;1.22;12.45;4.46;6.8
6.0;1.15;8.87;4.44;5.73
6.0;1.31;7.79;4.46;5.68
6.0;1.23;9.07;4.5;6.09
6.0;1.1;7.69;4.51;4.45
6.0;1.27;8.56;4.5;6.5
6.0;1.18;8.56;4.41;5.68
6.0;1.24;6.92;4.5;7.11
6.0;1.5;6.87;4.44;7.01
6.0;1.15;6.46;4.5;4.7
