model_size;LowCost;HighCmpl;S&P;HyBlock
1.0;1.11;2.09;1.11;1.01
1.0;0.25;0.25;0.39;0.29
1.0;1.14;1.14;1.14;1.04
1.0;1.03;1.22;1.22;1.12
1.0;0.25;0.25;0.39;0.29
1.0;1.1;1.75;1.14;1.05
1.0;1.13;1.13;1.13;1.03
1.0;1.09;1.17;1.17;1.07
1.0;1.18;1.18;1.18;1.08
1.0;0.25;0.25;0.39;0.29
1.0;1.02;1.21;1.22;1.12
1.0;3.71;0.91;1.0;0.91
1.0;1.16;1.18;1.18;1.08
1.0;4.01;0.84;0.94;0.84
1.0;1.04;1.23;1.2;1.23
1.0;1.11;1.11;1.11;1.01
1.0;1.12;1.11;1.12;1.02
1.0;1.1;1.1;1.1;1.0
1.0;1.11;1.18;1.18;1.11
1.0;1.1;1.2;1.2;1.1
1.0;1.1;1.19;1.19;1.09
1.0;1.11;1.78;1.11;123.28
1.0;0.25;0.25;1.06;0.96
1.0;1.04;1.23;1.23;1.13
1.0;1.16;1.16;1.16;1.06
1.0;0.25;0.25;1.05;0.95
1.0;1.29;0.9;1.0;0.9
1.0;0.25;0.25;0.39;0.29
1.0;1.1;1.18;1.18;1.1
1.0;1.15;1.15;1.15;1.05
1.0;1.01;1.2;1.21;1.2
1.0;1.02;1.21;1.21;1.11
1.0;0.25;0.25;0.39;0.29
1.0;1.14;1.14;1.15;1.05
1.0;1.16;1.78;1.13;1.16
1.0;1.19;1.19;1.19;1.09
1.0;1.2;1.2;1.17;1.2
1.0;1.16;1.16;1.13;1.16
1.0;10.79;0.87;0.97;0.87
1.0;1.11;1.13;1.14;1.04
1.0;1.1;1.1;1.1;1.0
1.0;10.85;0.8;0.89;0.8
1.0;1.07;1.16;1.16;1.06
1.0;1.13;1.13;1.1;1.13
1.0;1.36;0.88;0.98;0.88
256.0;1.3;1.91;1.77;1.67
256.0;1.16;1.45;1.45;1.45
256.0;1.14;1.97;1.78;1.95
256.0;1.16;1.85;1.7;1.6
256.0;1.11;2.03;1.8;1.98
256.0;1.2;2.13;1.75;1.65
256.0;1.1;2.03;1.71;1.62
256.0;1.11;2.15;1.99;1.89
256.0;1.19;1.79;1.64;1.55
256.0;1.13;2.15;1.86;1.76
256.0;1.55;3.06;1.81;1.99
256.0;1.23;1.92;1.76;1.67
256.0;1.16;1.67;1.51;1.69
256.0;1.1;1.97;1.76;1.94
256.0;1.35;2.03;1.84;1.74
1024.0;1.56;8.65;4.17;5.87
1024.0;1.14;6.29;4.19;4.79
1024.0;1.18;12.8;4.19;6.99
1024.0;1.52;5.42;4.21;5.35
1024.0;1.42;5.27;4.19;4.89
1024.0;1.2;8.14;4.17;4.84
1024.0;1.13;6.09;4.21;5.56
1024.0;1.26;7.67;4.14;5.51
1024.0;1.34;6.34;4.17;4.33
1024.0;1.39;10.54;4.15;4.97
1024.0;1.26;4.52;4.12;4.89
1024.0;1.51;4.59;4.14;4.21
1024.0;1.45;7.42;4.12;4.89
1024.0;1.11;4.87;4.17;4.84
1024.0;1.24;6.7;4.17;5.56
1024.0;1.32;8.34;4.19;4.23
1024.0;1.16;7.76;4.12;5.4
1024.0;1.15;9.26;4.17;5.05
1024.0;1.21;7.16;4.17;5.2
1024.0;1.34;8.9;4.17;4.43
1024.0;1.3;5.73;4.17;4.94
1024.0;1.14;7.42;4.12;5.76
1024.0;1.16;5.47;4.14;6.68
1024.0;1.54;11.52;4.44;5.35
1024.0;1.84;9.98;4.17;4.73
1024.0;1.3;7.32;4.17;4.84
1024.0;1.11;7.73;4.22;4.33
